created_at,screen_name,location,tweet,retweet_count,favorite_count
2020-10-23 08:25:11,Lee Olanq,,ICW: Satu Tahun Rezim Jokowi – Ma’ruf Hanya untuk Mengebiri KPK https://t.co/DWUNigBY7t,0,0
2020-10-23 08:24:57,Zie,,"@4Y4NKZ @CEMpl0k Bikin Najwa Heran, Rocky Gerung Beri Nilai A Minus Buat Jokowi - Maruf
https://t.co/77cPTh4yEJ",0,1
2020-10-23 08:03:06,PAKAI MASKER JAGA JARAK,,"@don_howei @ariandiputra30 @Kiyai_MarufAmin @jokowi @gitariiii @dewi_darmawati @FigoFico @DiniHrdianti @seruanhl @sjahtie @Sentilin @Candraasmara85 @vita_AVP pengembangan ekonomi syariah itu wilayah kerja yang ditugaskan Presiden @jokowi ke Pak Wapres @Kiyai_MarufAmin, sekarang komandonya ada di Ibuk Sri Mulyani 
https://t.co/bQQS0XCang",0,3
2020-10-23 07:54:03,Bisnis.com,"Jakarta, Indonesia","Survei Kinerja Kabinet Jokowi-Ma'ruf, Siapa Menteri Terbaik? https://t.co/oqeht3Tb1e",0,0
2020-10-23 07:53:16,muray_berkicau,Worldwide,"Survei Indonesia Political Review (IPR): 

Kepuasan terhadap Kinerja Kabinet Jokowi-Ma'ruf di Bawah 50 Persen. https://t.co/Axhy0BEV6E",0,0
2020-10-23 07:51:41,eko priyo bondowoso,"Minggir, Indonesia","Salah satu negara yang survive di masa pandemi ini adalah China setidaknya ada vaksin yang bisa menopang perekonomian di China

https://t.co/9ZXTPITjQO",0,0
2020-10-23 07:50:21,DEMOKRASI News,Indonesia,"Setahun Jokowi-Maruf, Peran Wapres Antara Ada Dan Tiada https://t.co/mn3UBsRm5r",8,30
2020-10-23 07:50:04,Pak RW 07,,"ICW: Satu Tahun Rezim Jokowi – Ma’ruf Hanya Bekerja untuk Mengebiri KPK. Dan mereka sukses!! KPK kini sdh dikebiri.
https://t.co/cMsjqa2sPr",12,59
2020-10-23 07:40:03,Zie,,"@AthayaHayya @bunda_ima2901 @jokowi Bikin Najwa Heran, Rocky Gerung Beri Nilai A Minus Buat Jokowi - Maruf
https://t.co/77cPTh4yEJ",0,0
2020-10-23 07:39:02,RIAU1,,Survei: Publik Tak Puas Dengan Kinerja Jokowi - Maruf Amin https://t.co/XCEX3iQqE4 https://t.co/VD3TpJM4I8,0,0
2020-10-23 07:32:05,Tribunnews Wiki,Indonesia,"Survei Litbang Kompas: Satu Tahun Jokowi Maruf, Banyak Suara Masyarakat Dibungkam https://t.co/Sv7DgWeCIG lewat @tribunnewswiki",0,0
2020-10-23 07:15:27,Bandung TV Official,Bandung - Jawa Barat,Setahun Kinerja Pemerintahan Jokowi-Ma’ruf Banyak Yang Tidak Puas ? https://t.co/6hg19gip4J,0,0
2020-10-23 07:15:26,Bisnis Bandung News,"Bandung, West Java",Setahun Kinerja Pemerintahan Jokowi-Ma’ruf Banyak Yang Tidak Puas ? https://t.co/oLB9hPEiTl,0,0
2020-10-23 07:06:33,galamedianews.com,"Bandung, Indonesia","Survei: Masyarakat Tak Puas dengan Jokowi-Ma'ruf, Kinerja Prabowo Paling Memuaskan https://t.co/ipnUGuIuD1 https://t.co/LRy2qaj0sG",0,0
2020-10-23 07:02:04,suaradotcom,Jakarta Capital Region,"Survei: 51,3 Persen Publik Tak Puas Kinerja Jokowi-Maruf Amin https://t.co/9g7WcexO5B #DariSuara",1,0
2020-10-23 06:59:50,Zie,,"@bonggbudiharto Bikin Najwa Heran, Rocky Gerung Beri Nilai A Minus Buat Jokowi - Maruf
https://t.co/77cPTh4yEJ",0,0
2020-10-23 06:47:14,Tribunnews,Indonesia,"Setahun Pemerintahan Jokowi-Ma'ruf, Ernest Prakasa Kecewa: Salah Saya, Ekspektasi Terlalu Tinggi

https://t.co/klBCEKXvrg",4,10
2020-10-23 06:36:05,Kompas.com,Indonesia,"""Tingkat kepuasan publik terhadap kinerja para menteri kabinet Jokowi-Ma’ruf Amin secara umum masih relatif di bawah 50 persen,"" kata Ujang Komarudin. https://t.co/kaJXEfdzrV",3,7
2020-10-23 06:25:46,REPUBLIK MERDEKA | RMOL.ID,Indonesia,"Setahun Jokowi-Maruf, Peran Wapres Antara Ada Dan Tiada https://t.co/tCf60tJxll",6,15
2020-10-23 06:17:53,Katanalar Politik,"DKI Jakarta, Indonesia","""Peran Wapres seperti 'wujuduhu kaadamihi', ada tapi seperti tak ada,"" ujar Ujang Komarudin saat berbincang dengan Kantor Berita Politik RMOL di Jakarta, Jumat (23/10).

⬇️⬇️⬇️
https://t.co/voYj7zjhgU https://t.co/QcOHQ1glzz",0,0
2020-10-23 06:16:51,Zie,,"@Naunaback Bikin Najwa Heran, Rocky Gerung Beri Nilai A Minus Buat Jokowi - Maruf
https://t.co/77cPTh4yEJ",0,0
2020-10-23 06:12:41,Presiden Kopi.,"Barus , Medan, NAD.",Loh jadi pak wapres gak tau?? Koq bisa gitu ya?? 🤔 https://t.co/IiTUI2xo0H,1,18
2020-10-23 06:06:05,iManru' (Patanna Tedong),Ri Tompo' Linona Allah Ta'ala,"Kasihan ya... berarti cm dijadikan pajangan, bahkan bocoran nama2 menteri utk reshuffle aja gk dikasih!

https://t.co/qrgmS993la",0,0
